song name, artist, album, genre, link
Leave Out All The Rest,Linkin Park,Minutes to Midnight,Rock,https://open.spotify.com/track/0sp00HSXkQyqTa6QqM0O8V?si=B1yxmzaSRvC8IE_zzeyHcw
Bleed It Out,Linkin Park,Minutes to Midnight,Rock,https://open.spotify.com/track/0UFDKFqW2oGspYeYqo9wjA?si=EVqv0I2BSU2suy3Lh1mTig
Shadow of the Day,Linkin Park,Minutes to Midnight,Rock,https://open.spotify.com/track/0OYcEfskah1egYHjYRvbg1?si=VxB27Ok1RJ22oqxL81kAWg
What I've Done,Linkin Park,Minutes to Midnight,Rock,https://open.spotify.com/track/18lR4BzEs7e3qzc0KVkTpU?si=MP8xbWzRTAiSyixIa9U5Fw
Iridescent,Linkin Park,A Thousand Suns,Rock,https://open.spotify.com/track/6SoUUr6i1X0GReHinApeKI?si=VVqn7pyaQ26emp0Cd23SHg
Blackout,Linkin Park,A Thousand Suns,Rock,https://open.spotify.com/track/0uIDQUwQmUltzyozMSezwQ?si=dJA9_Vn7RqiLnzb5fROoow
Papercut,Linkin Park,Hybrid Theory,Rock,https://open.spotify.com/track/1Vej0qeQ3ioKwpI6FUbRv1?si=RPK_r0sETu-_C27r7-g1pQ
Crawling,Linkin Park,Hybrid Theory,Rock,https://open.spotify.com/track/6xtQ23d8GEXgcxyUKPtwc5?si=QIBgjA3QQmO3MPRZp1tZuQ
Runaway,Linkin Park,Hybrid Theory,Rock,https://open.spotify.com/track/6xtQ23d8GEXgcxyUKPtwc5?si=F2_bbo3tT5qJNiAbGonivQ
In the End,Linkin Park,Hybrid Theory,Rock,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq?si=DQpp8b6XSam9OeJBQ_Jq4A
Forgotten,Linkin Park,Hybrid Theory,Rock,https://open.spotify.com/track/7kxM3UJwN6rHAW5kwdlAHK?si=jmCPx6vER4qL_ro1MLBdCA
High Voltage,Linkin Park,Hybrid Theory,Rock,https://open.spotify.com/track/7GVqIMb6OdMY5mG7fUrtOq?si=3mQJiZtgRUSUEIoOXwgGnw
Breaking the Habit ,Linkin Park,Meteora,Rock,https://open.spotify.com/track/4HcDu9IGRCvSTJE4yW5Ugv?si=lQ8piU_zTW2ZiKGP3sLByg
Numb ,Linkin Park,Meteora,Rock,https://open.spotify.com/track/0kO3njY9N1Rxgv27Ha1lLh?si=XvnmcEN2SdeXiMBw8ueRjg
Faint,Linkin Park,Meteora,Rock,https://open.spotify.com/track/2uxL6E8Yq0Psc1V9uBtC4F?si=GKrUmcDyRJm02FkuipSBkA
Somehwere I Belong,Linkin Park,Meteora,Rock,https://open.spotify.com/track/1d5UuboIPRMD4HaU3yycKC?si=dzDUZEj0R2iymWMKc9rczg
Don't Stay,Linkin Park,Meteora,Rock,https://open.spotify.com/track/27gUeiai56GKF6TxvmPJut?si=eHfGA03-RZm5ZufY8VnlIg
CASTLE OF GLASS,Linkin Park,Living Things ,Rock,https://open.spotify.com/track/1r1fPuhj9H4VdXr7OK6FL5?si=8KCX6DC-SuK-pfgRgcG-LQ
BURN IT DOWN,Linkin Park,Living Things ,Rock,https://open.spotify.com/track/7oVEtyuv9NBmnytsCIsY5I?si=HY8MF9SsSiWD40KhNz38mA
Yellow,Coldplay,Parachutes,Alternative Rock,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg?si=1orBWsOnRFyM90I5XEdNWw
Paradise,Coldplay,Mylo Xyloto,Alternative Rock,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D?si=b3cYjgMLR2CC8IL4D854Yw
The Scientist ,Coldplay,A Rush of Blood to the Head,Alternative Rock,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle?si=1Z1AV8IsQQmPpHF9CEF13A
Fix You,Coldplay,X&Y,Alternative Rock,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q?si=NnicGEtNTyW2z39k6ruEXg
Clocks ,Coldplay,A Rush of Blood to the Head,Alternative Rock,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns?si=ikgO4LGxQe2Dtgx4SIJ4TA
Every Teardrop Is a Waterfall ,Coldplay,Mylo Xyloto,Alternative Rock,https://open.spotify.com/track/2U8g9wVcUu9wsg6i7sFSv8?si=hHNVdwW-Rt27S30Dj4_NzA
Something Just Like This ,Coldplay ft. The Chainsmokers,Something Just Like This ,Alternative Rock,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH?si=LtTEftJuTuyJGAR-Tx1UgQ
Hymn for the Weekend,Coldplay,A Head Full of Dreams,Alternative Rock,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy?si=9KSLV6F0T0aNo6_sGH5Pew
Viva La Vida ,Coldplay,Viva La Vida or Death and All His Friends,Alternative Rock,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b?si=rf3d-fqMTpuzWW38ErHF7g
rockstar,Post Malone (feat. 21 Savage),beerbongs & bentleys,Pop / Hip-Hop,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt?si=0yfet_szT3CYTIBzxX6cnQ
I Fall Apart ,Post Malone,Stoney,Pop / Hip-Hop,https://open.spotify.com/track/2mdxJLJHzFmiiYdTZ8JcyH?si=UVJhGTTRQ6anIGmTnlIN4w
Psycho,Post Malone (feat. Ty Dolla $ign),beerbongs & bentleys,Pop / Hip-Hop,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C?si=4dXbJOB4QjuoiXhQdFfDfA
Candy Paint,Post Malone,beerbongs & bentleys,Pop / Hip-Hop,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C?si=ea7zaO83TWiTGFIlsdwCyA
A Thousand Bad Times,Post Malone,Hollywood's Bleeding,Pop / Hip-Hop,https://open.spotify.com/track/3hFG4jR5stnIQJDI64KlJY?si=whRC5t-TRqec2XKWdoFruA
White Iverson,Post Malone,Stoney (Deluxe),Pop / Hip-Hop,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w?si=IYkQ6kzqTSy61yF3kUa-PQ
Zack And Codeine,Post Malone,beerbongs & bentleys,Pop / Hip-Hop,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR?si=hV7fMAaISCm-FGB2ISdqNA
Rich & Sad,Post Malone,beerbongs & bentleys,Pop / Hip-Hop,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc?si=auV4bOFGRtCfAIDQG05TiA
Congratulations,Post Malone,Stoney ,Pop / Hip-Hop,https://open.spotify.com/track/6syOdAs4IK8kPWR7gDyjRw?si=3Nr7_69ZTeiW1LShlyNWaQ
All Girls Are The Same ,Juice WRLD,Goodbye & Good Riddance ,Pop / Hip-Hop,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1?si=NJdMVXz2S76K8bTM2Gy-3A
Lucid Dreams ,Juice WRLD,Goodbye & Good Riddance ,Pop / Hip-Hop,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR?si=aQ4V8bEoTZ6KLZSDmk0ktg
Armed And Dangerous ,Juice WRLD,Goodbye & Good Riddance ,Pop / Hip-Hop,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX?si=9JmJWQ2BS4GOF4j22HIP-w
Empty,Juice WRLD,Death Race For Love,Pop / Hip-Hop,https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v?si=MNBqNBEeTy2FBntFYCkmSA
Fast,Juice WRLD,Death Race For Love,Pop / Hip-Hop,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ?si=_QDCiRdqTsmSILEOBI09vQ
Robbery ,Juice WRLD,Death Race For Love,Pop / Hip-Hop,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ?si=G1u1rhv3QMKn3d5UUPcIAA
